ticker,from,reason_shortlist,shortlist_details,price,market_cap,sector,industry,forward_pe,peg,revenue_growth,earnings_growth,operating_margin,roe,debt_to_equity,free_cashflow,analyst_recommendation,analyst_score,analyst_count,analyst_target_mean,short_float,short_ratio,currency,financial_currency,instrument_type,price_as_of,fcf_yield,analyst_upside,next_earnings_date,earnings_date_start,earnings_date_end,earnings_date_status,days_to_earnings,next_eps_estimate,next_revenue_estimate,eps_estimate_period,eps_consensus_current,eps_consensus_30d_ago,eps_revision_30d,eps_revisions_up_30d,eps_revisions_down_30d,missing_fields,yahoo_fetched_at,yahoo_status,yahoo_errors,return_1d,return_5d,return_20d,median_dollar_volume_20,relative_volume_20,pct_relative_volume,atr14_pct,rv20,vol_expansion,pct_vol_expansion,normalized_move_1d,pct_normalized_move,distance_sma20,stretch_atr,pct_stretch_atr,breakout_direction,breakout_strength,bb_width_percentile_60,technical_source,technical_as_of,technical_status
SPY,"[""community""]","[""all-stocks #1 218 mentions 919 upvotes; options #1 13 mentions 14 upvotes""]","[{""from"": ""community"", ""Rank"": ""1"", ""Ticker"": ""SPY"", ""Name"": ""SPDR S&amp;P 500 ETF Trust"", ""Best source rank"": ""1"", ""Source details"": ""all-stocks #1 218 mentions 919 upvotes; options #1 13 mentions 14 upvotes""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-15T18:30:47.900163+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",-0.0044298165257675715,-0.012237399049572772,-0.020024475074069237,972124597.97,1.0911692761914353,0.42732716385410996,0.007322612780348824,0.005411933228630727,0.9935871655364837,0.592814371257485,0.6076420053853059,0.5111594991834513,-0.007992389139736154,1.091466854724964,0.3685356559608057,none,0.0,0.05,stage1_screen,2026-09-14,ok
DTE,"[""community""]","[""all-stocks #7 49 mentions 511 upvotes; options #2 4 mentions 14 upvotes""]","[{""from"": ""community"", ""Rank"": ""2"", ""Ticker"": ""DTE"", ""Name"": ""DTE Energy"", ""Best source rank"": ""2"", ""Source details"": ""all-stocks #7 49 mentions 511 upvotes; options #2 4 mentions 14 upvotes""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-15T18:30:47.900173+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",-0.011162229429066972,-0.03623934137018503,-0.06928373677859012,6274064.81,1.6982935605642508,0.8219923788786064,0.013423842574937067,0.008292747516564478,0.9965906755686849,0.5960805661404464,0.8409090909090855,0.6586826347305389,-0.043888719395926964,3.2694602272727202,0.9009254218835057,bearish,0.7017045454545374,0.2,stage1_screen,2026-09-14,ok
NVDA,"[""community""]","[""all-stocks #2 85 mentions 304 upvotes; options #13 1 mentions 4 upvotes""]","[{""from"": ""community"", ""Rank"": ""3"", ""Ticker"": ""NVDA"", ""Name"": ""NVIDIA"", ""Best source rank"": ""2"", ""Source details"": ""all-stocks #2 85 mentions 304 upvotes; options #13 1 mentions 4 upvotes""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-15T18:30:48.470963+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",-0.03286428014850795,-0.08336591511360181,-0.06288861254219225,691905804.81,0.7588649632976912,0.12357103973870441,0.03621530128639132,0.02782043749837009,0.40961869806780654,0.048448557430593356,0.938306225462702,0.708764289602613,-0.04354502369668241,1.2023929706487182,0.4033750680457267,none,0.0,0.08333333333333333,stage1_screen,2026-09-14,ok
BP,"[""community""]","[""options #3 2 mentions 5 upvotes""]","[{""from"": ""community"", ""Rank"": ""4"", ""Ticker"": ""BP"", ""Name"": ""BP"", ""Best source rank"": ""3"", ""Source details"": ""options #3 2 mentions 5 upvotes""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-15T18:30:48.473025+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",-0.0035791757049891126,0.04826563213144697,0.0795534665099884,26281967.905,1.720516180397751,0.8312465977136636,0.021427793932420034,0.015790985267844133,0.6572231456214318,0.22101252041371802,0.16763425253991204,0.15459989112683722,0.044856862958528455,2.093396226415099,0.6902558519324986,none,0.0,0.38333333333333336,stage1_screen,2026-09-14,ok
MU,"[""community""]","[""all-stocks #3 62 mentions 117 upvotes; options #26 1 mentions 1 upvotes""]","[{""from"": ""community"", ""Rank"": ""5"", ""Ticker"": ""MU"", ""Name"": ""Micron Technology"", ""Best source rank"": ""3"", ""Source details"": ""all-stocks #3 62 mentions 117 upvotes; options #26 1 mentions 1 upvotes""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-15T18:30:49.116632+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",-0.052424317007137566,-0.08965517241379306,-0.04936315562048599,542759677.3275,1.1787410531536566,0.5051714752313554,0.047209724799010505,0.03466930136624066,0.8482205285510671,0.43984757757212845,1.1718915024438972,0.7925966249319543,-0.04153679653679653,0.8798355998395297,0.28851388132825256,none,0.0,0.0,stage1_screen,2026-09-14,ok
QQQ,"[""community""]","[""all-stocks #4 56 mentions 387 upvotes""]","[{""from"": ""community"", ""Rank"": ""6"", ""Ticker"": ""QQQ"", ""Name"": ""Invesco QQQ ETF"", ""Best source rank"": ""4"", ""Source details"": ""all-stocks #4 56 mentions 387 upvotes""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-15T18:30:49.116553+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",-0.007903313796528089,-0.013711583924349902,-0.029827165222387042,365974629.005,1.1938399398044819,0.5149700598802395,0.010871294826655522,0.007903206651881557,0.8457164577831089,0.437125748502994,0.73278058270415,0.5884594447468698,-0.009102348993288543,0.8372828755384621,0.2754491017964072,none,0.0,0.0,stage1_screen,2026-09-14,ok
UBER,"[""community""]","[""options #4 2 mentions 13 upvotes""]","[{""from"": ""community"", ""Rank"": ""7"", ""Ticker"": ""UBER"", ""Name"": ""Uber"", ""Best source rank"": ""4"", ""Source details"": ""options #4 2 mentions 13 upvotes""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-15T18:30:49.777477+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",0.013747383112351796,-0.041122112211221085,-0.04314319588986948,52384088.925,1.323326278764755,0.61295590636908,0.034030229425011556,0.02080943155908552,1.0677330804714336,0.6891671203048448,0.39849732697587026,0.3652694610778443,-0.047910786810766014,1.4078890333766754,0.4719651605879151,none,0.0,0.7166666666666667,stage1_screen,2026-09-14,ok
IQ,"[""community""]","[""all-stocks #5 53 mentions 303 upvotes; options #37 1 mentions 1 upvotes""]","[{""from"": ""community"", ""Rank"": ""8"", ""Ticker"": ""IQ"", ""Name"": ""iQIYI"", ""Best source rank"": ""5"", ""Source details"": ""all-stocks #5 53 mentions 303 upvotes; options #37 1 mentions 1 upvotes""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d"", ""return_1d"", ""return_5d"", ""return_20d"", ""median_dollar_volume_20"", ""relative_volume_20"", ""pct_relative_volume"", ""atr14_pct"", ""rv20"", ""vol_expansion"", ""pct_vol_expansion"", ""normalized_move_1d"", ""pct_normalized_move"", ""distance_sma20"", ""stretch_atr"", ""pct_stretch_atr"", ""breakout_direction"", ""breakout_strength"", ""bb_width_percentile_60""]",2026-09-15T18:30:49.777511+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",,,,,,,,,,,,,,,,,,,stage1_screen,2026-09-14,missing
MSFT,"[""community""]","[""all-stocks #14 31 mentions 165 upvotes; options #5 1 mentions 1 upvotes""]","[{""from"": ""community"", ""Rank"": ""9"", ""Ticker"": ""MSFT"", ""Name"": ""Microsoft"", ""Best source rank"": ""5"", ""Source details"": ""all-stocks #14 31 mentions 165 upvotes; options #5 1 mentions 1 upvotes""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-15T18:30:50.462191+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",0.020460874127285367,0.012361248736350028,0.020934692641566555,239081973.29500002,1.7281535415003886,0.833968426782798,0.01957393136800712,0.014045480176784364,0.7612069305011583,0.3385955362003266,1.0243532849875583,0.7495917256396298,0.022297911888001374,1.1391636901540638,0.38432226456178553,none,0.0,0.06666666666666667,stage1_screen,2026-09-14,ok
AAPL,"[""community""]","[""all-stocks #3 12 mentions 31 upvotes; options #6 1 mentions 1 upvotes""]","[{""from"": ""community"", ""Rank"": ""10"", ""Ticker"": ""AAPL"", ""Name"": ""Apple"", ""Best source rank"": ""6"", ""Source details"": ""all-stocks #3 12 mentions 31 upvotes; options #6 1 mentions 1 upvotes""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-15T18:30:50.462029+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",0.0022724194495025163,0.04078762306610417,0.08844871543439892,355530838.47749996,1.1720006791734616,0.4986390854654328,0.02337301587301588,0.01447349791226904,1.1292383386281786,0.7539466521502449,0.09700362501720675,0.09363091997822537,0.04906606606606606,2.099261230670398,0.6913445835601524,none,0.0,0.18333333333333332,stage1_screen,2026-09-14,ok
